c_id,artist,track,album,song_url,filename
c00001,Playground,คำสาป,Mr.Postman,http://chordtabs.in.th/song.php?song_id=1&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000101.png
c00002,Big Ass,ปลุกใจเสือป่า,Begin,http://chordtabs.in.th/song.php?song_id=2&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000201.png
c00003,Jetset'er,จูบ,Nude,http://chordtabs.in.th/song.php?song_id=3&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003701.png
c00004,The Richman Toy,รอน้องจอดหัวใจ,ลำนำสะดิ้งเลิฟยู,http://chordtabs.in.th/song.php?song_id=4&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0015312.png
c00005,Golf Mike,Epilogue,Golf Mike,http://chordtabs.in.th/song.php?song_id=5&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0028407.png
c00008,NANA,ขอโอกาส,NANA,http://chordtabs.in.th/song.php?song_id=8&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0012806.png
c00009,S.I.L.K,น้ำตาไม่ช่วยอะไร,S.I.L.K,http://chordtabs.in.th/song.php?song_id=9&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0049101.png
c00010,ก้อย รัชวิน,คนไม่มีแฟน,Sanamluang Connects,http://chordtabs.in.th/song.php?song_id=10&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0013403.png
c00011,มาลีวัลย์ เจมีน่า,อย่าเสียดาย,Sensation,http://chordtabs.in.th/song.php?song_id=11&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0033604.png
c00012,ริค วชิรปิลันธิ์,รอยยิ้ม (ภาคทฤษฎี),Trois,http://chordtabs.in.th/song.php?song_id=12&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0049201.png
c00013,เอ็ม อรรถพล,รักไปไม่รู้ตัว,Spirit,http://chordtabs.in.th/song.php?song_id=13&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0004615.png
c00014,ETC,เจ้าเวลา ( ETC Version ),Special Demo Album,http://chordtabs.in.th/song.php?song_id=14&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002815.png
c00015,Lula,Bizarre Love Triangle,Swing Swing,http://chordtabs.in.th/song.php?song_id=15&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0017309.png
c00017,The Richman Toy,แต่งงานกันเด้อ,Ost.แหยมยโสธร 2,http://chordtabs.in.th/song.php?song_id=17&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0015313.png
c00018,โต๋,Everyday,Piano & I Part III,http://chordtabs.in.th/song.php?song_id=18&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002709.png
c00019,Big Ass,พรหมลิขิต,Begin,http://chordtabs.in.th/song.php?song_id=19&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000203.png
c00020,Big Ass,สัตว์โลกย่อมเป็นไปตามกรรม,Begin,http://chordtabs.in.th/song.php?song_id=20&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000202.png
c00021,Big Ass,ข้าน้อยสมควรตาย,Begin,http://chordtabs.in.th/song.php?song_id=21&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000204.png
c00022,Big Ass,อะไรกันนักกันหนา,Begin,http://chordtabs.in.th/song.php?song_id=22&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000205.png
c00023,Big Ass,ความหวังโง่ๆ,Begin,http://chordtabs.in.th/song.php?song_id=23&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000206.png
c00024,Big Ass,สิ่งกีดขวาง,Begin,http://chordtabs.in.th/song.php?song_id=24&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000207.png
c00025,Big Ass,คนหลงทาง,Begin,http://chordtabs.in.th/song.php?song_id=25&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000208.png
c00026,Big Ass,ก่อนตาย,XL,http://chordtabs.in.th/song.php?song_id=26&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000209.png
c00027,Paradox,ผงาดงํ้าคํ้าโลก,X,http://chordtabs.in.th/song.php?song_id=27&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000301.png
